pgtable,initialrecords,recordswithgeom,exportwithgeom
acs_facilities_daycareheadstart,256,256,13
acs_facilities_daycareheadstart;dcas_facilities_colp,119,119,119
amtrak_facilities_sfpsd,4,4,4
bbpc_facilities_sfpsd,5,5,1
bic_facilities_tradewaste,1277,1277,1273
bic_facilities_tradewaste;dcas_facilities_colp,15,15,15
dca_facilities_operatingbusinesses,2256,2256,2229
dca_facilities_operatingbusinesses;dcas_facilities_colp,91,91,89
dcas_facilities_colp,13986,13986,6856
dcla_facilities_culturalinstitutions,1538,1538,1531
dcp_pops,332,332,332
dfta_facilities_contracts,323,323,299
dhs_facilities_shelters,537,537,146
doe_facilities_busroutesgarages,101,101,101
doe_facilities_lcgms,177,177,102
doe_facilities_universalprek,1106,1106,382
dohmh_facilities_daycare,2895,2895,1806
dot_facilities_bridgehouses,33,33,33
dot_facilities_mannedfacilities,36,36,35
dot_facilities_parkingfacilities,12,12,12
dot_facilities_pedplazas,64,64,64
dpr_parksproperties,562,562,562
dsny_facilities_mtsgaragemaintenance,16,16,16
dycd_facilities_afterschoolprograms,491,491,489
fbop_facilities_corrections,3,3,3
foodbankny_facilities_foodbanks,737,737,737
hhs_facilities_financialscontracts,1282,1282,249
hhs_facilities_proposals,1452,1452,915
hra_facilities_centers,1,1,1
hrpt_facilities_sfpsd,7,7,1
mta_facilities_sfpsd,159,159,100
nycdep_facilities_sfpsd,1,1,1
nycdoc_facilities_corrections,1,1,1
nycha_facilities_communitycenters,461,461,452
nycha_facilities_policeservice,14,14,14
nycourts_facilities_courts,20,20,19
nysdec_facilities_lands,27,27,27
nysdec_facilities_solidwaste,225,225,212
nysdoccs_facilities_corrections,3,3,3
nysdoh_facilities_healthfacilities,1026,1026,1026
nysdot_facilities_sfpsd,4,4,3
nysed_facilities_activeinstitutions,5810,5810,5792
nysoasas_facilities_programs,284,284,284
nysocfs_facilities_facilities,1,1,1
nysomh_facilities_mentalhealth,586,586,583
nysopwdd_facilities_providers,157,157,138
nysparks_facilities_historicplaces,653,653,653
nysparks_facilities_parks,5,5,5
omb_facilities_libraryvisits,22,22,22
panynj_facilities_sfpsd,2,2,2
sbs_facilities_workforce1,27,27,27
tgi_facilities_sfpsd,7,7,7
uscourts_facilities_courts,6,6,6
usdot_facilities_airports,13,13,13
usdot_facilities_ports,40,40,40
usnps_facilities_parks,6,6,6
